filename,width,height,class,xmin,ymin,xmax,ymax
hq720_jpg.rf.751c22944124846e4d144131bafe73da.jpg,640,640,Potable,361,482,477,617
hq720_jpg.rf.751c22944124846e4d144131bafe73da.jpg,640,640,Not potable,95,126,216,277
Tips-Agar-Air-Kolam-Renang-Tetap-Jernih_jpg.rf.6c2d78d745b9911e98eb6758370b203f.jpg,640,640,Potable,268,369,460,591
IMG_20240610_211510_jpg.rf.6b47f23821514fe53d2fc7d87a3ba940.jpg,640,640,Potable,203,319,537,535
WhatsApp-Image-2020-10-19-at-14-51-43-768x1024_jpeg_jpg.rf.91bd5bdd646d6e796f39dd86d9113df7.jpg,640,640,Not potable,187,244,402,513
glass-of-water-15-_jpg.rf.cbd45163ca1b97a10adcb86052205348.jpg,640,640,Potable,103,253,557,464
IMG_20240614_164547_jpg.rf.1055a3ed73dafe37fea8678b33746ae3.jpg,640,640,Not potable,189,367,469,587
IMG_20240614_164547_jpg.rf.1055a3ed73dafe37fea8678b33746ae3.jpg,640,640,Not potable,269,82,431,171
VID_20240614_164118_mp4-0015_jpg.rf.c9bc64ba293febbf11c8466b60fe1f99.jpg,640,640,Not potable,59,469,255,567
IMG_20240614_164147_jpg.rf.818866eba7f53e10a4fd9336a1f8b599.jpg,640,640,Not potable,346,288,456,347
bedside-water-m-1515705122_jpg.rf.a1d4223a16809b12a0a5bd389a77453d.jpg,640,640,Potable,160,138,301,504
x5ym12d1vxm21_jpg.rf.135bce3f3e5080523ee6258b59186aec.jpg,640,640,Potable,99,166,538,530
IMG_20240610_211200_jpg.rf.3f209efd9626d97f84481fe8d7a9850a.jpg,640,640,Potable,99,343,520,581
images-4-_jpeg_jpg.rf.73dba04f397d711395c68e92fb6a96f5.jpg,640,640,Not potable,415,244,529,385
waterglass_jpg.rf.dfc7c5cf304d85601e282db0b6e8eb6f.jpg,640,640,Potable,112,215,528,604
Air-krruh-24099_jpg.rf.cd8a7f78062da07bb2988991049f40d3.jpg,640,640,Not potable,132,254,483,586
IMG_20240610_211425_jpg.rf.c8c85122c9f0a5593d2a712de4b82bdc.jpg,640,640,Potable,56,312,435,575
IMG_20240610_210913_jpg.rf.25e2bf3af68c23fd29d736e9831d2511.jpg,640,640,Potable,77,151,603,610
1271509715_dc0c64c8d3_jpg.rf.88c3dfaec7494419fef8da7e006bf988.jpg,640,640,Potable,58,165,607,580
VID_20240614_164628_mp4-0012_jpg.rf.c82fd1c43553cd38e1640617da1ab1be.jpg,640,640,Not potable,226,267,412,377
VID_20240614_164506_mp4-0020_jpg.rf.4087da3e2937a52f8452507d3096ee15.jpg,640,640,Not potable,182,262,429,423
VID_20240614_164506_mp4-0020_jpg.rf.4087da3e2937a52f8452507d3096ee15.jpg,640,640,Not potable,134,543,548,640
main-qimg-33e3a2d74379d4eee0df9d1f3f7f9969_jpeg_jpg.rf.6f5245126055b4292e33a376968f5186.jpg,640,640,Potable,313,346,543,579
water-glass_jpg.rf.a8be96b1895e75280ebe5da57ce5318c.jpg,640,640,Potable,178,152,458,625
s_mp4-0005_jpg.rf.dfec824e0ba125b753c385a3d46c607e.jpg,640,640,Not potable,192,243,327,401
Glass-is-half-full_jpg.rf.b48c1f7635d0e66928c16b99b901d9cc.jpg,640,640,Potable,120,370,538,529
IMG_20240614_164146_1_jpg.rf.04b2c7a513c5f660dbd41a5d3824ee11.jpg,640,640,Not potable,349,262,445,343
i_mp4-0002_jpg.rf.1cabef03dfcbf5a98dadaf5329ab560a.jpg,640,640,Not potable,122,343,245,470
1917329664_jpg.rf.2a1ee8d7aa3e80f5dca095ad483e4193.jpg,640,640,Potable,213,366,526,640
IMG_20240610_210951_jpg.rf.130dd51a7f2248d145ea77f50df266cf.jpg,640,640,Potable,168,178,540,520
glass-of-water-2_bmp.rf.da909b403aadfc07b5d4121219efa367.jpg,640,640,Potable,109,93,543,593
IMG_20240614_164549_jpg.rf.61dbfac92918d63c4a51f79ad0d53856.jpg,640,640,Not potable,228,155,439,304
IMG_20240614_164549_jpg.rf.61dbfac92918d63c4a51f79ad0d53856.jpg,640,640,Not potable,375,511,600,627
istockphoto-182760555-612x612_jpg.rf.f052036dab2bf338566e0dd888c71d7e.jpg,640,640,Not potable,94,155,272,528
istockphoto-182760555-612x612_jpg.rf.f052036dab2bf338566e0dd888c71d7e.jpg,640,640,Potable,374,154,563,531
image_png_jpg.rf.88b58ef19ec6b48482f34d4e66447852.jpg,640,640,Not potable,132,235,288,522
image_png_jpg.rf.88b58ef19ec6b48482f34d4e66447852.jpg,640,640,Potable,340,291,502,531
images_jpeg_jpg.rf.59c04abb6210f90553d854f7e7b9e35f.jpg,640,640,Potable,255,351,340,562
WhatsApp-Image-2021-01-20-at-11-10-39_jpeg_jpg.rf.9f322f82766855c6363d6923031c39e8.jpg,640,640,Not potable,25,462,104,587
gayung-dan-ember-berlumut-bisa-b-20230324093915_jpg.rf.03933a162f9d77c693b26869ba89ac8e.jpg,640,640,Potable,425,229,555,393
VID_20240614_164506_mp4-0011_jpg.rf.fa99c59752dda772edb7241666b28f51.jpg,640,640,Not potable,17,259,267,413
IMG_20240610_211448_jpg.rf.ec7193c9d9747281821c6ebd13d6ad45.jpg,640,640,Potable,226,293,451,423
Kolam-ikan-teras-Rumah-shorts-short_mp4-0003_jpg.rf.88c551278d7a854c9620a6628bc2b44c.jpg,640,640,Not potable,313,80,482,163
IMG-20210816-WA0238_jpg.rf.e677337f277cc955f7da3b47f1451b9e.jpg,640,640,Not potable,247,302,589,596
glass_of_water_1_by_photohouse_jpg.rf.dc4b5766ee6cf4663bc49bb348ab80d8.jpg,640,640,Potable,278,184,469,491
VID_20240614_164628_mp4-0003_jpg.rf.c807ceece9ce978849643be7fd54b8fd.jpg,640,640,Not potable,222,278,411,373
i_mp4-0007_jpg.rf.22d993bee5a80185b33c75fd68b1762f.jpg,640,640,Not potable,110,381,273,485
VID_20240614_164628_mp4-0013_jpg.rf.1a668b613199f09f01eec59279a6e0f9.jpg,640,640,Not potable,221,268,409,357
a_mp4-0007_jpg.rf.69ccf7298701ad3dfcfdae15dda4ba40.jpg,640,640,Not potable,68,229,599,507
antarafoto-bantuan-air-di-pegunungan-klotok-181119-pf-4_jpg.rf.0d0340b14bb015d70d18a1a36e213fe9.jpg,640,640,Potable,202,470,383,640
IMG_20240610_211458_jpg.rf.243027beaefa072b91773d72d4833511.jpg,640,640,Potable,225,130,584,419
WhatsApp-Video-2024-06-14-at-11_29_04_f10db6b3_mp4-0010_jpg.rf.3c57d636343d0acd8862b052c673ff3c.jpg,640,640,Not potable,3,106,638,624
Glass-of-Water_1_jpg.rf.eba688dfb71a0845c9b755fb11298419.jpg,640,640,Potable,125,190,459,388
water-glass-1-_jpg.rf.f8839ab0b713450a24a2bf94d8058700.jpg,640,640,Potable,87,53,586,629
84564d1d2d8bc6504145bc71618c8cf7_jpg.rf.828b1e15877578ff477a60c415101f0c.jpg,640,640,Potable,132,311,536,601
